,column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.name,expt.id,per_via,per_via_std
0,2,B,210,0.0,B02,0.0,DASATINIB,0.0,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.717334253704,0.0
13,3,B,264,0.0,B03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.26869140202,0.0
26,4,B,292,0.0,B04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.244989905164,0.0
39,5,B,269,0.0,B05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.241112627018,0.0
52,6,B,275,0.0,B06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.249133051468,0.0
65,7,B,265,0.0,B07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.267011604516,0.0
78,8,B,240,0.0,B08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.258620295574,0.0
91,9,B,292,0.0,B09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.274543261448,0.0
104,10,B,332,0.0,B10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.28321720857,0.0
117,11,B,262,0.0,B11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,0.0,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.320085213874,0.0
130,2,C,236,0.0,C02,0.0,DASATINIB,0.0,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.377094451982,0.0
143,3,C,316,0.0,C03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.26007832328,0.0
156,4,C,323,0.0,C04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.246094585337,0.0
169,5,C,338,0.0,C05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.257668199427,0.0
182,6,C,381,0.0,C06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.217890627623,0.0
195,7,C,355,0.0,C07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.21835295422,0.0
208,8,C,387,0.0,C08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.209680770276,0.0
221,9,C,369,0.0,C09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.222664447291,0.0
234,10,C,378,0.0,C10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.23540934682,0.0
247,11,C,218,0.0,C11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,2e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.267897477175,0.0
260,2,D,264,0.0,D02,0.0,DASATINIB,0.0,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.390093810838,0.0
273,3,D,403,0.0,D03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.273768061695,0.0
286,4,D,389,0.0,D04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.231863209951,0.0
299,5,D,432,0.0,D05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.220812169096,0.0
312,6,D,471,0.0,D06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.221875259855,0.0
325,7,D,490,0.0,D07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.205535298388,0.0
338,8,D,482,0.0,D08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.200655156404,0.0
351,9,D,436,0.0,D09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.248330507227,0.0
364,10,D,362,0.0,D10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.242863290794,0.0
377,11,D,278,0.0,D11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,1e-07,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.261708544417,0.0
390,2,E,253,0.0,E02,0.0,DASATINIB,0.0,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.375710714148,0.0
403,3,E,323,0.0,E03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.268027685462,0.0
416,4,E,437,0.0,E04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.247911698378,0.0
429,5,E,392,0.0,E05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.230276663561,0.0
442,6,E,438,0.0,E06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.213268433892,0.0
455,7,E,472,0.0,E07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.210593136671,0.0
468,8,E,469,0.0,E08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.205771066089,0.0
481,9,E,470,0.0,E09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.206658590014,0.0
494,10,E,352,0.0,E10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.241908409914,0.0
507,11,E,323,0.0,E11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.255952853462,0.0
520,2,F,281,0.0,F02,0.0,DASATINIB,0.0,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.399580784547,0.0
533,3,F,258,0.0,F03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.265225268272,0.0
546,4,F,329,0.0,F04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.257658605858,0.0
559,5,F,395,0.0,F05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.23274039885,0.0
572,6,F,348,0.0,F06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.220681047151,0.0
585,7,F,354,0.0,F07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.191186518057,0.0
598,8,F,418,0.0,F08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.222501748419,0.0
611,9,F,352,0.0,F09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.222230836132,0.0
624,10,F,383,0.0,F10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.232065707386,0.0
637,11,F,320,0.0,F11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,2.5e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.243153922784,0.0
650,2,G,240,0.0,G02,0.0,DASATINIB,0.0,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.374947970971,0.0
663,3,G,206,0.0,G03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.249901675862,0.0
676,4,G,249,0.0,G04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.240115991892,0.0
689,5,G,271,0.0,G05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.229637266044,0.0
702,6,G,257,0.0,G06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.200130675259,0.0
715,7,G,227,0.0,G07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.216849839405,0.0
728,8,G,295,0.0,G08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.204932526407,0.0
741,9,G,286,0.0,G09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.226433751538,0.0
754,10,G,235,0.0,G10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.242017480306,0.0
767,11,G,243,0.0,G11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,1.25e-08,M,2017-08-24,PC9c1.1,1,Dasatinib_Osimertinib,0.243747652004,0.0
780,2,B,151,0.0,B02,0.0,DASATINIB,0.0,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.452151896506,0.0
793,3,B,189,0.0,B03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.270407210285,0.0
806,4,B,182,0.0,B04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.270825975586,0.0
819,5,B,212,0.0,B05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.255590447084,0.0
832,6,B,258,0.0,B06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.243950156045,0.0
845,7,B,205,0.0,B07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.241102648592,0.0
858,8,B,170,0.0,B08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.282400883719,0.0
871,9,B,236,0.0,B09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.26144925245,0.0
884,10,B,217,0.0,B10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.269094174116,0.0
897,11,B,151,0.0,B11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,6.25e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.310236530145,0.0
910,2,C,217,0.0,C02,0.0,DASATINIB,0.0,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.587833229777,0.0
923,3,C,298,0.0,C03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.275563947582,0.0
936,4,C,320,0.0,C04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.268886341491,0.0
949,5,C,294,0.0,C05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.261384135761,0.0
962,6,C,281,0.0,C06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.253322600878,0.0
975,7,C,374,0.0,C07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.249620149775,0.0
988,8,C,369,0.0,C08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.263337562292,0.0
1001,9,C,316,0.0,C09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.242717916469,0.0
1014,10,C,271,0.0,C10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.271953964274,0.0
1027,11,C,166,0.0,C11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,3.125e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.352291447693,0.0
1040,2,D,176,0.0,D02,0.0,DASATINIB,0.0,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.788300825901,0.0
1053,3,D,265,0.0,D03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.279054554508,0.0
1066,4,D,366,0.0,D04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.274708190799,0.0
1079,5,D,429,0.0,D05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.267003305133,0.0
1092,6,D,464,0.0,D06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.260377684167,0.0
1105,7,D,441,0.0,D07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.27362504184,0.0
1118,8,D,401,0.0,D08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.265245216441,0.0
1131,9,D,356,0.0,D09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.320655232787,0.0
1144,10,D,354,0.0,D10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.318150858164,0.0
1157,11,D,188,0.0,D11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,1.5625e-09,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.360460219774,0.0
1170,2,E,216,0.0,E02,0.0,DASATINIB,0.0,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.985157781267,0.0
1183,3,E,309,0.0,E03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.267554780242,0.0
1196,4,E,295,0.0,E04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.281970958027,0.0
1209,5,E,354,0.0,E05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.290288624601,0.0
1222,6,E,378,0.0,E06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.288437656425,0.0
1235,7,E,391,0.0,E07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.304666315565,0.0
1248,8,E,433,0.0,E08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.312201681332,0.0
1261,9,E,430,0.0,E09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.303040380863,0.0
1274,10,E,421,0.0,E10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.373426423814,0.0
1287,11,E,218,0.0,E11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,7.8125e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.425687906025,0.0
1300,2,F,153,0.0,F02,0.0,DASATINIB,0.0,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,1.15360487884,0.0
1313,3,F,227,0.0,F03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.29297409201,0.0
1326,4,F,276,0.0,F04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.252699941098,0.0
1339,5,F,276,0.0,F05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.300743120705,0.0
1352,6,F,295,0.0,F06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.301231198726,0.0
1365,7,F,331,0.0,F07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.325808155507,0.0
1378,8,F,386,0.0,F08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.378703971175,0.0
1391,9,F,321,0.0,F09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.359487569382,0.0
1404,10,F,297,0.0,F10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.432060998809,0.0
1417,11,F,203,0.0,F11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,3.9063e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.560105211379,0.0
1430,2,G,130,0.0,G02,0.0,DASATINIB,0.0,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,1.18367178009,0.0
1443,3,G,150,0.0,G03,0.0,DASATINIB,1e-06,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.289642255286,0.0
1456,4,G,139,0.0,G04,0.0,DASATINIB,5e-07,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.285732116841,0.0
1469,5,G,197,0.0,G05,0.0,DASATINIB,2.5e-07,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.305649381597,0.0
1482,6,G,227,0.0,G06,0.0,DASATINIB,1.25e-07,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.336753484372,0.0
1495,7,G,198,0.0,G07,0.0,DASATINIB,6.25e-08,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.3665352975,0.0
1508,8,G,177,0.0,G08,0.0,DASATINIB,3.125e-08,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.405116637868,0.0
1521,9,G,185,0.0,G09,0.0,DASATINIB,1.5625e-08,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.45246658247,0.0
1534,10,G,184,0.0,G10,0.0,DASATINIB,7.8125e-09,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.520599331161,0.0
1547,11,G,145,0.0,G11,0.0,DASATINIB,3.90625e-09,M,OSIMERTINIB,1.9531e-10,M,2017-08-24,PC9c1.1,2,Dasatinib_Osimertinib,0.69756110869,0.0
