column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.id,expt.id,per_via,per_via_std
2,B,273,0,B02,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.513975884,0.0354960362
3,B,256,0,B03,0,linsitinib,0.000005,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3409939432,0.0235496134
4,B,310,0,B04,0,linsitinib,0.0000025,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3392939,0.0234322056
5,B,310,0,B05,0,linsitinib,0.00000125,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3278749417,0.0226435932
6,B,332,0,B06,0,linsitinib,0.000000625,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3589766906,0.0247915321
7,B,243,0,B07,0,linsitinib,3.125E-07,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4018435075,0.0277519863
8,B,283,0,B08,0,linsitinib,1.5625E-07,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4095449174,0.0282838586
9,B,273,0,B09,0,linsitinib,7.8125E-08,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4556612844,0.0314687322
10,B,284,0,B10,0,linsitinib,3.9063E-08,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4416543796,0.0305013919
11,B,218,0,B11,0,linsitinib,1.9531E-08,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.5074096603,0.0350425618
2,C,271,0,C02,0,linsitinib,0,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3974487327,0.0274484758
3,C,371,0,C03,0,linsitinib,0.000005,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3194351699,0.0220607284
4,C,410,0,C04,0,linsitinib,0.0000025,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3252069812,0.0224593393
5,C,410,0,C05,0,linsitinib,0.00000125,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3082895179,0.021290991
6,C,440,0,C06,0,linsitinib,0.000000625,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3401461129,0.0234910608
7,C,486,0,C07,0,linsitinib,3.125E-07,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3480033103,0.024033692
8,C,399,0,C08,0,linsitinib,1.5625E-07,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3536800077,0.0244257343
9,C,392,0,C09,0,linsitinib,7.8125E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3788159993,0.026161668
10,C,344,0,C10,0,linsitinib,3.9063E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3881995346,0.0268097107
11,C,309,0,C11,0,linsitinib,1.9531E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3136898779,0.0216639489
2,D,303,0,D02,0,linsitinib,0,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3101959795,0.0214226544
3,D,446,0,D03,0,linsitinib,0.000005,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.2917655658,0.0201498191
4,D,505,0,D04,0,linsitinib,0.0000025,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3205798531,0.0221397821
5,D,522,0,D05,0,linsitinib,0.00000125,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3295812917,0.0227614365
6,D,514,0,D06,0,linsitinib,0.000000625,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3169442292,0.0218886998
7,D,556,0,D07,0,linsitinib,3.125E-07,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3397050484,0.0234606002
8,D,542,0,D08,0,linsitinib,1.5625E-07,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3269103704,0.0225769782
9,D,569,0,D09,0,linsitinib,7.8125E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3695564354,0.025522187
10,D,462,0,D10,0,linsitinib,3.9063E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3516675464,0.0242867503
11,D,337,0,D11,0,linsitinib,1.9531E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4190786185,0.028942272
2,E,278,0,E02,0,linsitinib,0,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3798096226,0.0262302893
3,E,387,0,E03,0,linsitinib,0.000005,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3266187393,0.0225568377
4,E,433,0,E04,0,linsitinib,0.0000025,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3235949893,0.0223480125
5,E,487,0,E05,0,linsitinib,0.00000125,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3546548062,0.0244930555
6,E,492,0,E06,0,linsitinib,0.000000625,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3291176518,0.0227294168
7,E,482,0,E07,0,linsitinib,3.125E-07,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3546279345,0.0244911997
8,E,520,0,E08,0,linsitinib,1.5625E-07,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3582301716,0.0247399762
9,E,517,0,E09,0,linsitinib,7.8125E-08,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3685768347,0.0254545341
10,E,498,0,E10,0,linsitinib,3.9063E-08,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3740556008,0.0258329069
11,E,370,0,E11,0,linsitinib,1.9531E-08,M,osimertinib,0.00000005,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4089415908,0.0282421919
2,F,256,0,F02,0,linsitinib,0,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4084704612,0.0282096549
3,F,303,0,F03,0,linsitinib,0.000005,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3188332597,0.0220191594
4,F,438,0,F04,0,linsitinib,0.0000025,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3115597483,0.0215168385
5,F,403,0,F05,0,linsitinib,0.00000125,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3402467635,0.0234980119
6,F,420,0,F06,0,linsitinib,0.000000625,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3238486336,0.0223655296
7,F,423,0,F07,0,linsitinib,3.125E-07,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3376274298,0.0233171163
8,F,361,0,F08,0,linsitinib,1.5625E-07,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3586245692,0.024767214
9,F,426,0,F09,0,linsitinib,7.8125E-08,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.3694438044,0.0255144085
10,F,410,0,F10,0,linsitinib,3.9063E-08,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.4007074598,0.027673529
11,F,369,0,F11,0,linsitinib,1.9531E-08,M,osimertinib,0.000000025,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.398358094,0.0275112778
2,G,319,0,G02,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.2220864387,0.0843993383
3,G,262,0,G03,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.95035042,0.0656327933
4,G,263,0,G04,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.0242137736,0.0707339203
5,G,289,0,G05,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,0.9810246863,0.0677512095
6,G,308,0,G06,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.1012545941,0.0760544885
7,G,307,0,G07,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.1344211411,0.0783450259
8,G,340,0,G08,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.0813910809,0.074682681
9,G,282,0,G09,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.0528800237,0.0727136596
10,G,331,0,G10,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.033572575,0.0713802548
11,G,332,0,G11,0,linsitinib,0,M,osimertinib,0,M,2017-08-24,PC9c1,1,Linsitinib_Osimertinib,1.151754245,0.0795420791
2,B,180,0,B02,0,linsitinib,0,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.5887762718,0.0406618764
3,B,255,0,B03,0,linsitinib,0.000005,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3564750168,0.0246187623
4,B,264,0,B04,0,linsitinib,0.0000025,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.336944945,0.0232699828
5,B,318,0,B05,0,linsitinib,0.00000125,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3310367205,0.0228619509
6,B,325,0,B06,0,linsitinib,0.000000625,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3565792229,0.0246259589
7,B,281,0,B07,0,linsitinib,3.125E-07,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3718048241,0.0256774645
8,B,242,0,B08,0,linsitinib,1.5625E-07,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4051297961,0.0279789429
9,B,278,0,B09,0,linsitinib,7.8125E-08,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3985332515,0.0275233745
10,B,283,0,B10,0,linsitinib,3.9063E-08,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4247847729,0.0293363486
11,B,191,0,B11,0,linsitinib,1.9531E-08,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4768888758,0.0329347453
2,C,288,0,C02,0,linsitinib,0,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.6875491443,0.0474832966
3,C,315,0,C03,0,linsitinib,0.000005,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3543823464,0.024474239
4,C,329,0,C04,0,linsitinib,0.0000025,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3766683647,0.0260133488
5,C,380,0,C05,0,linsitinib,0.00000125,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3836074139,0.0264925711
6,C,392,0,C06,0,linsitinib,0.000000625,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3784740515,0.0261380525
7,C,412,0,C07,0,linsitinib,3.125E-07,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4116043617,0.0284260873
8,C,318,0,C08,0,linsitinib,1.5625E-07,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4590784898,0.0317047302
9,C,427,0,C09,0,linsitinib,7.8125E-08,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4286882737,0.0296059309
10,C,361,0,C10,0,linsitinib,3.9063E-08,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4634798002,0.032008692
11,C,283,0,C11,0,linsitinib,1.9531E-08,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.5361825041,0.0370296626
2,D,219,0,D02,0,linsitinib,0,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.8560472795,0.0591200603
3,D,394,0,D03,0,linsitinib,0.000005,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.402842231,0.0278209598
4,D,493,0,D04,0,linsitinib,0.0000025,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.3750237845,0.0258997713
5,D,494,0,D05,0,linsitinib,0.00000125,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4663678719,0.0322081471
6,D,567,0,D06,0,linsitinib,0.000000625,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4370201263,0.0301813426
7,D,569,0,D07,0,linsitinib,3.125E-07,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4446105268,0.0307055484
8,D,519,0,D08,0,linsitinib,1.5625E-07,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.5993090512,0.0413892878
9,D,479,0,D09,0,linsitinib,7.8125E-08,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.5440369088,0.037572101
10,D,407,0,D10,0,linsitinib,3.9063E-08,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.5921028259,0.0408916138
11,D,288,0,D11,0,linsitinib,1.9531E-08,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.6107551853,0.042179777
2,E,287,0,E02,0,linsitinib,0,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.283224263,0.0886216189
3,E,349,0,E03,0,linsitinib,0.000005,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.4779143979,0.0330055695
4,E,363,0,E04,0,linsitinib,0.0000025,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.5680417741,0.0392299172
5,E,456,0,E05,0,linsitinib,0.00000125,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.6999639366,0.048340683
6,E,454,0,E06,0,linsitinib,0.000000625,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.6748077569,0.046603355
7,E,535,0,E07,0,linsitinib,3.125E-07,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.7287618396,0.0503295144
8,E,447,0,E08,0,linsitinib,1.5625E-07,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.9164864245,0.063294089
9,E,491,0,E09,0,linsitinib,7.8125E-08,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.8348745499,0.0576578361
10,E,325,0,E10,0,linsitinib,3.9063E-08,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.9210552243,0.0636096179
11,E,191,0,E11,0,linsitinib,1.9531E-08,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.9746209839,0.0673089591
2,F,212,0,F02,0,linsitinib,0,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1052284181,0.0763289275
3,F,315,0,F03,0,linsitinib,0.000005,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.6033745176,0.0416700557
4,F,346,0,F04,0,linsitinib,0.0000025,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.7594799963,0.0524509618
5,F,370,0,F05,0,linsitinib,0.00000125,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.8970912144,0.0619546232
6,F,416,0,F06,0,linsitinib,0.000000625,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.914779177,0.0631761836
7,F,453,0,F07,0,linsitinib,3.125E-07,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.0093845474,0.0697097891
8,F,397,0,F08,0,linsitinib,1.5625E-07,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1077420171,0.0765025208
9,F,419,0,F09,0,linsitinib,7.8125E-08,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1695007962,0.0807676856
10,F,379,0,F10,0,linsitinib,3.9063E-08,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1722433236,0.0809570892
11,F,268,0,F11,0,linsitinib,1.9531E-08,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.2096496443,0.0835404324
2,G,180,0,G02,0,linsitinib,0,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.3284762575,0.0917467975
3,G,182,0,G03,0,linsitinib,0.000005,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.6769514744,0.0467514037
4,G,218,0,G04,0,linsitinib,0.0000025,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,0.861241254,0.0594787649
5,G,262,0,G05,0,linsitinib,0.00000125,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.0330747277,0.0713458726
6,G,283,0,G06,0,linsitinib,0.000000625,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.129545814,0.0780083276
