column,row,cell.count,time,well,nl2,drug1,drug1.conc,drug1.units,drug2,drug2.conc,drug2.units,expt.date,cell.line,plate.id,expt.id,per_via,per_via_std
7,G,269,0,G07,0,linsitinib,3.125E-07,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1806263282,0.0815360335
8,G,266,0,G08,0,linsitinib,1.5625E-07,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.1904776055,0.0822163793
9,G,252,0,G09,0,linsitinib,7.8125E-08,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.2330625209,0.0851573649
10,G,278,0,G10,0,linsitinib,3.9063E-08,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.2051945712,0.0832327576
11,G,221,0,G11,0,linsitinib,1.9531E-08,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1,2,Linsitinib_Osimertinib,1.2970667249,0.0895776026
2,B,210,0,B02,0,DASATINIB,0,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.7173342537,0
3,B,264,0,B03,0,DASATINIB,0.000001,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.268691402,0
4,B,292,0,B04,0,DASATINIB,0.0000005,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2449899052,0
5,B,269,0,B05,0,DASATINIB,0.00000025,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.241112627,0
6,B,275,0,B06,0,DASATINIB,0.000000125,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2491330515,0
7,B,265,0,B07,0,DASATINIB,6.25E-08,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2670116045,0
8,B,240,0,B08,0,DASATINIB,3.125E-08,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2586202956,0
9,B,292,0,B09,0,DASATINIB,1.5625E-08,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2745432614,0
10,B,332,0,B10,0,DASATINIB,7.8125E-09,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2832172086,0
11,B,262,0,B11,0,DASATINIB,3.90625E-09,M,osimertinib,0,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.3200852139,0
2,C,236,0,C02,0,DASATINIB,0,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.377094452,0
3,C,316,0,C03,0,DASATINIB,0.000001,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2600783233,0
4,C,323,0,C04,0,DASATINIB,0.0000005,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2460945853,0
5,C,338,0,C05,0,DASATINIB,0.00000025,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2576681994,0
6,C,381,0,C06,0,DASATINIB,0.000000125,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2178906276,0
7,C,355,0,C07,0,DASATINIB,6.25E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2183529542,0
8,C,387,0,C08,0,DASATINIB,3.125E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2096807703,0
9,C,369,0,C09,0,DASATINIB,1.5625E-08,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2226644473,0
10,C,378,0,C10,0,DASATINIB,7.8125E-09,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2354093468,0
11,C,218,0,C11,0,DASATINIB,3.90625E-09,M,osimertinib,0.0000002,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2678974772,0
2,D,264,0,D02,0,DASATINIB,0,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.3900938108,0
3,D,403,0,D03,0,DASATINIB,0.000001,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2737680617,0
4,D,389,0,D04,0,DASATINIB,0.0000005,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.23186321,0
5,D,432,0,D05,0,DASATINIB,0.00000025,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2208121691,0
6,D,471,0,D06,0,DASATINIB,0.000000125,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2218752599,0
7,D,490,0,D07,0,DASATINIB,6.25E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2055352984,0
8,D,482,0,D08,0,DASATINIB,3.125E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2006551564,0
9,D,436,0,D09,0,DASATINIB,1.5625E-08,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2483305072,0
10,D,362,0,D10,0,DASATINIB,7.8125E-09,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2428632908,0
11,D,278,0,D11,0,DASATINIB,3.90625E-09,M,osimertinib,0.0000001,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2617085444,0
2,E,253,0,E02,0,DASATINIB,0,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.3757107141,0
3,E,323,0,E03,0,DASATINIB,0.000001,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2680276855,0
4,E,437,0,E04,0,DASATINIB,0.0000005,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2479116984,0
5,E,392,0,E05,0,DASATINIB,0.00000025,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2302766636,0
6,E,438,0,E06,0,DASATINIB,0.000000125,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2132684339,0
7,E,472,0,E07,0,DASATINIB,6.25E-08,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2105931367,0
8,E,469,0,E08,0,DASATINIB,3.125E-08,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2057710661,0
9,E,470,0,E09,0,DASATINIB,1.5625E-08,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.20665859,0
10,E,352,0,E10,0,DASATINIB,7.8125E-09,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2419084099,0
11,E,323,0,E11,0,DASATINIB,3.90625E-09,M,osimertinib,0.00000005,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2559528535,0
2,F,281,0,F02,0,DASATINIB,0,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.3995807845,0
3,F,258,0,F03,0,DASATINIB,0.000001,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2652252683,0
4,F,329,0,F04,0,DASATINIB,0.0000005,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2576586059,0
5,F,395,0,F05,0,DASATINIB,0.00000025,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2327403989,0
6,F,348,0,F06,0,DASATINIB,0.000000125,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2206810472,0
7,F,354,0,F07,0,DASATINIB,6.25E-08,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.1911865181,0
8,F,418,0,F08,0,DASATINIB,3.125E-08,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2225017484,0
9,F,352,0,F09,0,DASATINIB,1.5625E-08,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2222308361,0
10,F,383,0,F10,0,DASATINIB,7.8125E-09,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2320657074,0
11,F,320,0,F11,0,DASATINIB,3.90625E-09,M,osimertinib,0.000000025,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2431539228,0
2,G,240,0,G02,0,DASATINIB,0,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.374947971,0
3,G,206,0,G03,0,DASATINIB,0.000001,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2499016759,0
4,G,249,0,G04,0,DASATINIB,0.0000005,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2401159919,0
5,G,271,0,G05,0,DASATINIB,0.00000025,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.229637266,0
6,G,257,0,G06,0,DASATINIB,0.000000125,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2001306753,0
7,G,227,0,G07,0,DASATINIB,6.25E-08,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2168498394,0
8,G,295,0,G08,0,DASATINIB,3.125E-08,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2049325264,0
9,G,286,0,G09,0,DASATINIB,1.5625E-08,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2264337515,0
10,G,235,0,G10,0,DASATINIB,7.8125E-09,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.2420174803,0
11,G,243,0,G11,0,DASATINIB,3.90625E-09,M,osimertinib,1.25E-08,M,2017-08-24,PC9c1.1,3,Dasatinib_Osimertinib,0.243747652,0
2,B,151,0,B02,0,DASATINIB,0,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.4521518965,0
3,B,189,0,B03,0,DASATINIB,0.000001,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2704072103,0
4,B,182,0,B04,0,DASATINIB,0.0000005,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2708259756,0
5,B,212,0,B05,0,DASATINIB,0.00000025,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2555904471,0
6,B,258,0,B06,0,DASATINIB,0.000000125,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.243950156,0
7,B,205,0,B07,0,DASATINIB,6.25E-08,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2411026486,0
8,B,170,0,B08,0,DASATINIB,3.125E-08,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2824008837,0
9,B,236,0,B09,0,DASATINIB,1.5625E-08,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2614492525,0
10,B,217,0,B10,0,DASATINIB,7.8125E-09,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2690941741,0
11,B,151,0,B11,0,DASATINIB,3.90625E-09,M,osimertinib,6.25E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3102365301,0
2,C,217,0,C02,0,DASATINIB,0,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.5878332298,0
3,C,298,0,C03,0,DASATINIB,0.000001,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2755639476,0
4,C,320,0,C04,0,DASATINIB,0.0000005,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2688863415,0
5,C,294,0,C05,0,DASATINIB,0.00000025,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2613841358,0
6,C,281,0,C06,0,DASATINIB,0.000000125,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2533226009,0
7,C,374,0,C07,0,DASATINIB,6.25E-08,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2496201498,0
8,C,369,0,C08,0,DASATINIB,3.125E-08,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2633375623,0
9,C,316,0,C09,0,DASATINIB,1.5625E-08,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2427179165,0
10,C,271,0,C10,0,DASATINIB,7.8125E-09,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2719539643,0
11,C,166,0,C11,0,DASATINIB,3.90625E-09,M,osimertinib,3.125E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3522914477,0
2,D,176,0,D02,0,DASATINIB,0,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.7883008259,0
3,D,265,0,D03,0,DASATINIB,0.000001,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2790545545,0
4,D,366,0,D04,0,DASATINIB,0.0000005,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2747081908,0
5,D,429,0,D05,0,DASATINIB,0.00000025,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2670033051,0
6,D,464,0,D06,0,DASATINIB,0.000000125,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2603776842,0
7,D,441,0,D07,0,DASATINIB,6.25E-08,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2736250418,0
8,D,401,0,D08,0,DASATINIB,3.125E-08,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2652452164,0
9,D,356,0,D09,0,DASATINIB,1.5625E-08,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3206552328,0
10,D,354,0,D10,0,DASATINIB,7.8125E-09,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3181508582,0
11,D,188,0,D11,0,DASATINIB,3.90625E-09,M,osimertinib,1.5625E-09,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3604602198,0
2,E,216,0,E02,0,DASATINIB,0,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.9851577813,0
3,E,309,0,E03,0,DASATINIB,0.000001,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2675547802,0
4,E,295,0,E04,0,DASATINIB,0.0000005,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.281970958,0
5,E,354,0,E05,0,DASATINIB,0.00000025,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2902886246,0
6,E,378,0,E06,0,DASATINIB,0.000000125,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2884376564,0
7,E,391,0,E07,0,DASATINIB,6.25E-08,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3046663156,0
8,E,433,0,E08,0,DASATINIB,3.125E-08,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3122016813,0
9,E,430,0,E09,0,DASATINIB,1.5625E-08,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3030403809,0
10,E,421,0,E10,0,DASATINIB,7.8125E-09,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3734264238,0
11,E,218,0,E11,0,DASATINIB,3.90625E-09,M,osimertinib,7.8125E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.425687906,0
2,F,153,0,F02,0,DASATINIB,0,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,1.1536048788,0
3,F,227,0,F03,0,DASATINIB,0.000001,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.292974092,0
4,F,276,0,F04,0,DASATINIB,0.0000005,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2526999411,0
5,F,276,0,F05,0,DASATINIB,0.00000025,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3007431207,0
6,F,295,0,F06,0,DASATINIB,0.000000125,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3012311987,0
7,F,331,0,F07,0,DASATINIB,6.25E-08,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3258081555,0
8,F,386,0,F08,0,DASATINIB,3.125E-08,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3787039712,0
9,F,321,0,F09,0,DASATINIB,1.5625E-08,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3594875694,0
10,F,297,0,F10,0,DASATINIB,7.8125E-09,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.4320609988,0
11,F,203,0,F11,0,DASATINIB,3.90625E-09,M,osimertinib,3.9063E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.5601052114,0
2,G,130,0,G02,0,DASATINIB,0,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,1.1836717801,0
3,G,150,0,G03,0,DASATINIB,0.000001,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2896422553,0
4,G,139,0,G04,0,DASATINIB,0.0000005,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.2857321168,0
5,G,197,0,G05,0,DASATINIB,0.00000025,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3056493816,0
6,G,227,0,G06,0,DASATINIB,0.000000125,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3367534844,0
7,G,198,0,G07,0,DASATINIB,6.25E-08,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.3665352975,0
8,G,177,0,G08,0,DASATINIB,3.125E-08,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.4051166379,0
9,G,185,0,G09,0,DASATINIB,1.5625E-08,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.4524665825,0
10,G,184,0,G10,0,DASATINIB,7.8125E-09,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.5205993312,0
11,G,145,0,G11,0,DASATINIB,3.90625E-09,M,osimertinib,1.9531E-10,M,2017-08-24,PC9c1.1,4,Dasatinib_Osimertinib,0.6975611087,0
