"","X.1","X","CellLine","rep","Time","l2","nl2","group"
"1",1,7171,"SKMEL5",1,0,12.2240016741981,0,"Population Response"
"2",2,7172,"SKMEL5",1,14.9692,12.5201275503249,0.296125876126746,"Population Response"
"3",3,7173,"SKMEL5",1,21.8833,12.5117526537674,0.287750979569275,"Population Response"
"4",4,7174,"SKMEL5",1,38.4294,12.3542493819452,0.130247707747136,"Population Response"
"5",5,7175,"SKMEL5",1,44.4325,12.3742244261237,0.150222751925627,"Population Response"
"6",6,7176,"SKMEL5",1,62.9386,12.6759570329417,0.451955358743644,"Population Response"
"7",7,7177,"SKMEL5",1,72.1064,12.7642496053672,0.540247931169056,"Population Response"
"8",8,7178,"SKMEL5",1,72.7017,12.6068678373742,0.382866163176047,"Population Response"
"9",9,7179,"SKMEL5",1,86.8056,12.8645730817736,0.640571407575536,"Population Response"
"11",12,7197,"SKMEL5",2,0,12.5040741145206,0,"Population Response"
"12",13,7198,"SKMEL5",2,14.9692,12.786065381164,0.281991266643384,"Population Response"
"13",14,7199,"SKMEL5",2,21.8833,12.7838167593202,0.279742644799605,"Population Response"
"14",15,7200,"SKMEL5",2,38.4294,12.6564248632778,0.152350748757204,"Population Response"
"15",16,7201,"SKMEL5",2,44.4325,12.7004397181411,0.196365603620515,"Population Response"
"16",17,7202,"SKMEL5",2,62.9386,12.9812104882717,0.477136373751117,"Population Response"
"17",18,7203,"SKMEL5",2,72.1064,13.0963857344527,0.592311619932074,"Population Response"
"18",19,7204,"SKMEL5",2,72.7017,12.9229559919085,0.4188818773879,"Population Response"
"19",20,7205,"SKMEL5",2,86.8056,13.169455297697,0.665381183176454,"Population Response"
"21",23,7223,"SKMEL5",3,0,12.3165643853969,0,"Population Response"
"22",24,7224,"SKMEL5",3,14.9692,12.609178738142,0.292614352745037,"Population Response"
"23",25,7225,"SKMEL5",3,21.8833,12.6261653199045,0.309600934507555,"Population Response"
"24",26,7226,"SKMEL5",3,38.4294,12.4522412404308,0.135676855033875,"Population Response"
"25",27,7227,"SKMEL5",3,44.4325,12.4800328145839,0.163468429187006,"Population Response"
"26",28,7228,"SKMEL5",3,62.9386,12.7879025593914,0.471338173994489,"Population Response"
"27",29,7229,"SKMEL5",3,72.1064,12.911953675622,0.595389290225031,"Population Response"
"28",30,7230,"SKMEL5",3,72.7017,12.7380922596205,0.421527874223548,"Population Response"
"29",31,7231,"SKMEL5",3,86.8056,12.9421479203948,0.625583534997906,"Population Response"
"31",34,7249,"SKMEL5",4,0,12.4291451704787,0,"Population Response"
"32",35,7250,"SKMEL5",4,14.9692,12.704984324893,0.275839154414236,"Population Response"
"33",36,7251,"SKMEL5",4,21.8833,12.6910891862365,0.261944015757788,"Population Response"
"34",37,7252,"SKMEL5",4,38.4294,12.5488219084588,0.119676737980006,"Population Response"
"35",38,7253,"SKMEL5",4,44.4325,12.5840229402575,0.154877769778798,"Population Response"
"36",39,7254,"SKMEL5",4,62.9386,12.9151324489507,0.485987278471907,"Population Response"
"37",40,7255,"SKMEL5",4,72.1064,12.9927613509431,0.563616180464386,"Population Response"
"38",41,7256,"SKMEL5",4,72.7017,12.8550631183676,0.42591794788888,"Population Response"
"39",42,7257,"SKMEL5",4,86.8056,13.0459302632916,0.616785092812833,"Population Response"
"41",45,7275,"SKMEL5",5,0,12.3462366913902,0,"Population Response"
"42",46,7276,"SKMEL5",5,14.9692,12.6225094546833,0.276272763293086,"Population Response"
"43",47,7277,"SKMEL5",5,21.8833,12.5945578798637,0.248321188473483,"Population Response"
"44",48,7278,"SKMEL5",5,38.4294,12.4519837772302,0.105747085839941,"Population Response"
"45",49,7279,"SKMEL5",5,44.4325,12.467605550083,0.121368858692747,"Population Response"
"46",50,7280,"SKMEL5",5,62.9386,12.7575983558239,0.411361664433663,"Population Response"
"47",51,7281,"SKMEL5",5,72.1064,12.8411711892485,0.494934497858294,"Population Response"
"48",52,7282,"SKMEL5",5,72.7017,12.7277077774727,0.381471086082437,"Population Response"
"49",53,7283,"SKMEL5",5,86.8056,12.9472716524603,0.601034961070098,"Population Response"
"51",56,7301,"SKMEL5",6,0,12.1237980912519,0,"Population Response"
"52",57,7302,"SKMEL5",6,14.9692,12.3944626946103,0.270664603358462,"Population Response"
"53",58,7303,"SKMEL5",6,21.8833,12.3826240265749,0.258825935323062,"Population Response"
"54",59,7304,"SKMEL5",6,38.4294,12.2161395564251,0.0923414651732806,"Population Response"
"55",60,7305,"SKMEL5",6,44.4325,12.2688343693438,0.145036278091904,"Population Response"
"56",61,7306,"SKMEL5",6,62.9386,12.5579422867874,0.434144195535593,"Population Response"
"57",62,7307,"SKMEL5",6,72.1064,12.6746336617673,0.550835570515412,"Population Response"
"58",63,7308,"SKMEL5",6,72.7017,12.4885933338354,0.364795242583554,"Population Response"
"59",64,7309,"SKMEL5",6,86.8056,12.7617589788688,0.637960887616901,"Population Response"
"61",67,7327,"SKMEL5",7,0,12.4426843678658,0,"Population Response"
"62",68,7328,"SKMEL5",7,14.9692,12.7170337494909,0.274349381625058,"Population Response"
"63",69,7329,"SKMEL5",7,21.8833,12.704984324893,0.262299957027146,"Population Response"
"64",70,7330,"SKMEL5",7,38.4294,12.5291865052509,0.0865021373850574,"Population Response"
"65",71,7331,"SKMEL5",7,44.4325,12.5783726913608,0.135688323494971,"Population Response"
"66",72,7332,"SKMEL5",7,62.9386,12.8425467754436,0.399862407577809,"Population Response"
"67",73,7333,"SKMEL5",7,72.1064,12.9578275608337,0.51514319296791,"Population Response"
"68",74,7334,"SKMEL5",7,72.7017,12.7530077689452,0.310323401079412,"Population Response"
"69",75,7335,"SKMEL5",7,86.8056,13.036860446673,0.594176078807212,"Population Response"
"71",78,7353,"SKMEL5",8,0,12.2720465243899,0,"Population Response"
"72",79,7354,"SKMEL5",8,14.9692,12.5524289485265,0.280382424136533,"Population Response"
"73",80,7355,"SKMEL5",8,21.8833,12.5196362528432,0.247589728453276,"Population Response"
"74",81,7356,"SKMEL5",8,38.4294,12.4191701650285,0.147123640638601,"Population Response"
"75",82,7357,"SKMEL5",8,44.4325,12.4731983836775,0.20115185928759,"Population Response"
"76",83,7358,"SKMEL5",8,62.9386,12.7607199474656,0.488673423075687,"Population Response"
"77",84,7359,"SKMEL5",8,72.1064,12.8603110549195,0.588264530529544,"Population Response"
"78",85,7360,"SKMEL5",8,72.7017,12.7603041252864,0.488257600896445,"Population Response"
"79",86,7361,"SKMEL5",8,86.8056,12.9605450132117,0.688498488821725,"Population Response"
"81",89,7379,"SKMEL5",9,0,12.4926043043867,0,"Population Response"
"82",90,7380,"SKMEL5",9,14.9692,12.7905521378054,0.297947833418698,"Population Response"
"83",91,7381,"SKMEL5",9,21.8833,12.8033239190415,0.310719614654808,"Population Response"
"84",92,7382,"SKMEL5",9,38.4294,12.6537407787066,0.161136474319886,"Population Response"
"85",93,7383,"SKMEL5",9,44.4325,12.691525441166,0.198921136779356,"Population Response"
"86",94,7384,"SKMEL5",9,62.9386,13.0068520017488,0.514247697362091,"Population Response"
"87",95,7385,"SKMEL5",9,72.1064,13.1416282073648,0.649023902978112,"Population Response"
"88",96,7386,"SKMEL5",9,72.7017,12.9863753794353,0.493771075048651,"Population Response"
"89",97,7387,"SKMEL5",9,86.8056,13.1678885131806,0.675284208793967,"Population Response"
"91",100,7405,"SKMEL5",10,0,12.2419831496943,0,"Population Response"
"92",101,7406,"SKMEL5",10,14.9692,12.5350323145293,0.29304916483494,"Population Response"
"93",102,7407,"SKMEL5",10,21.8833,12.5328429109613,0.290859761266953,"Population Response"
"94",103,7408,"SKMEL5",10,38.4294,12.3742244261237,0.132241276429403,"Population Response"
"95",104,7409,"SKMEL5",10,44.4325,12.4354098231633,0.193426673468991,"Population Response"
"96",105,7410,"SKMEL5",10,62.9386,12.7247270015344,0.482743851840116,"Population Response"
"97",106,7411,"SKMEL5",10,72.1064,12.8307132569519,0.588730107257545,"Population Response"
"98",107,7412,"SKMEL5",10,72.7017,12.7442031511328,0.5022200014385,"Population Response"
"99",108,7413,"SKMEL5",10,86.8056,12.9368219444924,0.69483879479805,"Population Response"
